drinkerID,drinkerName,barID,barName,state
0,Jon-Paul Reyes,9,Knotty Cod Inn,Kentucky
0,Jon-Paul Reyes,796,The Truthful Cove Inn,Kentucky
1,Ryan-Lee Pettigrew,880,The Thinkable Guitar ,Mississippi
1,Ryan-Lee Pettigrew,142,The Eager Lyre Tavern,Mississippi
2,Leiten Tandy,253,The Black-And-White Trumpet Tavern,Hawaii
2,Leiten Tandy,361,The Waggish Moose Inn,Hawaii
2,Leiten Tandy,253,The Black-And-White Trumpet Tavern,Hawaii
3,Bhaaldeen Turco,898,The Puzzled Pup Bar,Kansas
4,Kade Aikin,362,The Grandiose Captain Tavern,Texas
4,Kade Aikin,912,The Sleepy Noodle Bar,Texas
5,Tayyab Roberts,516,Sparkling Apple Pub,Idaho
5,Tayyab Roberts,755,The Different Badger Bar,Idaho
6,Geoffrey Schmitt,404,The Useless Banjo Inn,Northern Mariana Islands
6,Geoffrey Schmitt,950,Unbiased Captain Inn,Northern Mariana Islands
7,Ritchie Shaffer,311,Garrulous Cake Inn,Nebraska
7,Ritchie Shaffer,866,Selfish Apple Pub,Nebraska
7,Ritchie Shaffer,845,Slippery Gorilla Inn,Nebraska
8,Faisal Johnson,508,Daily Lioness Inn,Mississippi
9,Kenan Chapman,930,Calm Dog Inn,Minnesota
9,Kenan Chapman,459,The Cheerful Cod Bar,Minnesota
9,Kenan Chapman,107,Tenuous Captain Bar,Minnesota
10,Dayem Christensen,826,The Classy Cave Bar,Texas
10,Dayem Christensen,987,Youthful Dog Pub,Texas
11,Lincoln-John Mccord,760,The Tiny Cod Inn,Idaho
12,Eric Zeaser,500,Versed Apple Bar,Kansas
12,Eric Zeaser,151,Zany Cave ,Kansas
12,Eric Zeaser,573,Graceful Frog ,Kansas
13,Konan Johnsen,848,The Resolute Gate Bar,Louisiana
14,Mickey Johnsen,429,The False Familiar Famous Onion Inn,Palau
14,Mickey Johnsen,913,Jolly Flower Pub,Palau
14,Mickey Johnsen,811,Impartial Skull Tavern,Palau
15,Anselm Thompson,442,Small Garden Inn,South Carolina
16,Zhuo Root,467,The Black-And-White Crossbow ,Massachusetts
16,Zhuo Root,10,Glib Pear Bar,Massachusetts
17,Hagun McGinnis,190,Distinct Pirate Pub,Guam
17,Hagun McGinnis,28,Hesitant Pikachu Bar,Guam
17,Hagun McGinnis,190,Distinct Pirate Pub,Guam
18,Rihonn Ferro,342,The Faded Mole Bar,Idaho
18,Rihonn Ferro,717,Parallel Cove Inn,Idaho
18,Rihonn Ferro,875,Elderly Bongo Bar,Idaho
