transactionID,drinkerID,drinkerName,barID,barName,time,beer ordered,price
0,1980,Khizar Davis,692,The Damp Onion ,16,Keystone Light,4.0
1,400,Zeeshan Leisinger,311,Garrulous Cake Inn,20,Coors Light,4.0
2,2773,Xin Shaffer,317,The Mysterious Captain ,22,Barrel-Aged Abraxas,3
3,4391,Jardine Irwin,442,Small Garden Inn,18,King Julius,3
4,865,Kealon Schiebel,697,The Gifted Cove Pub,18,Michelob Ultra,3
5,2416,Umar Lewis,952,The Rainy Bongo Pub,19,Miller Lite,3
6,3441,Timothy Bateman,998,Festive Trumpet Bar,24,Budweiser,3
7,3144,Dean Bateman,621,Fluttering Armadillo Bar,19,Budweiser,3
8,2237,Zarran Duffman,745,The Unruly Trumpet Bar,14,Michelob Ultra,3.5
9,910,Fyn Kalleg,439,The Periodic Lioness Bar,23,Steel Reserve,3.5
10,4934,Jayden-Thomas Jenson,775,The Shaggy Pikachu Inn,14,Marshmallow Handjee,3
11,1990,Shaunpaul Wagle,805,Colossal Cave Bar,16,Dos Equis,3
12,1476,Ralfs Jenson,635,Sudden Pizza Pub,22,Stella Artois,4.0
13,1196,Jaydyn Schickowski,901,Equal Apple ,20,Keystone Light,3.5
14,3261,Bennett Sandstrom,658,Thoughtless Armadillo Inn,22,Centennial IPA,4.0
15,2700,Burhan Miller,323,The Creepy Husband Tavern,18,Blue Moon,3
16,3750,Abdul-Majeed Yang,639,The Purring Lioness Inn,19,Mil's Best Ice,4
17,2539,Firaaz Soulis,927,The Secret Cod Pub,24,Budweiser,3.5
18,4188,Arved Ostrander,768,Jagged Snowman Bar,20,Coors Light,4.0
19,4807,Mitchel Stahl,735,Moldy Cod ,24,Yuengling Lager,3.5
20,1606,Maitlind Boyd,297,The Fluttering Lion Tavern,13,Miller High Life,4
21,4256,Enzo Hancock,576,Unwieldy Husband Pub,15,Blue Moon,3
22,4208,Kieron Mccord,765,The Devilish Skull Inn,15,Icehouse,3.5
23,1340,Warren Sawyer,595,The Boorish Husband Inn,14,Breakfast Stout,4.0
24,3109,Riach Leisinger,818,Humorous Garden Inn,23,Sculpin IPA,4.0
25,2172,Mickey Quinn,429,The False Familiar Famous Onion Inn,14,Mil's Best Ice,3
26,3997,Elyan Nugent,343,Salty Cod Bar,18,Guinness,3
27,4763,Brandon-Lee Jagtap,81,The Damaged Gate Tavern,21,Modelo especial,4.0
28,1068,Seane Sellon,884,The Economic Pikachu Tavern,19,Modelo especial,4.0
29,4493,Kairn Schiebel,206,The Snotty Bongo ,18,90 Minute IPA,3.5
30,4555,Efan Eastman,900,The Accessible Trumpet Bar,15,KBS,3.5
31,228,Leigh Lewis,505,The Pale Fish Tavern,19,Steel Reserve,4
32,3080,Ma'moon Sandstrom,723,Jazzy Cake Tavern,23,Michelob Ultra,4.0
33,4836,Aref Cataldi,884,The Economic Pikachu Tavern,14,Busch,3.5
34,2031,Mario Haworth,765,The Devilish Skull Inn,18,Steel Reserve,4.0
35,315,Taylan Dugan,324,The Homeless Cod ,23,Blue Moon,3
36,806,Preston-Jay Woo,736,The Old Rose Inn,20,King Julius,3
37,278,Caiden-Paul Caswell,373,The Nifty Garden Tavern,20,Pabst Blue Ribbon,3.5
38,4865,Emil Dugan,361,The Waggish Moose Inn,16,Breakfast Stout,4.0
39,4704,Wyatt LePage,202,Wandering Lioness ,14,Bud Ice,3
